"","caseid","year","degree","consci"
"25960",25960,1990,"Graduate","A Great Deal"
"25962",25962,1990,"High School","A Great Deal"
"25964",25964,1990,"High School","Only Some"
"25971",25971,1990,"Junior College","A Great Deal"
"25972",25972,1990,"High School","Only Some"
"25974",25974,1990,"Lt High School","Only Some"
"25976",25976,1990,"High School","Only Some"
"25984",25984,1990,"High School","Only Some"
"25986",25986,1990,"Lt High School","Only Some"
"25989",25989,1990,"Junior College","A Great Deal"
"25991",25991,1990,"Bachelor","A Great Deal"
"25992",25992,1990,"Junior College","A Great Deal"
"25993",25993,1990,"Bachelor","A Great Deal"
"25997",25997,1990,"High School","Only Some"
"26001",26001,1990,"High School","A Great Deal"
"26002",26002,1990,"High School","A Great Deal"
"26004",26004,1990,"Bachelor","A Great Deal"
"26005",26005,1990,"Graduate","A Great Deal"
"26008",26008,1990,"High School","A Great Deal"
"26009",26009,1990,"Bachelor","Only Some"
"26015",26015,1990,"High School","A Great Deal"
"26016",26016,1990,"High School","A Great Deal"
"26017",26017,1990,"Lt High School","A Great Deal"
"26022",26022,1990,"Lt High School","A Great Deal"
"26024",26024,1990,"High School","Only Some"
"26025",26025,1990,"High School","A Great Deal"
"26027",26027,1990,"Lt High School","Only Some"
"26028",26028,1990,"High School","A Great Deal"
"26030",26030,1990,"High School","Only Some"
"26031",26031,1990,"Bachelor","A Great Deal"
"26032",26032,1990,"Bachelor","Only Some"
"26033",26033,1990,"High School","Only Some"
"26034",26034,1990,"High School","Only Some"
"26036",26036,1990,"High School","A Great Deal"
"26038",26038,1990,"Graduate","A Great Deal"
"26042",26042,1990,"High School","A Great Deal"
"26044",26044,1990,"Bachelor","A Great Deal"
"26045",26045,1990,"High School","Hardly Any"
"26046",26046,1990,"High School","Only Some"
"26049",26049,1990,"Lt High School","Only Some"
"26054",26054,1990,"High School","Only Some"
"26055",26055,1990,"Bachelor","Only Some"
"26057",26057,1990,"Lt High School","A Great Deal"
"26059",26059,1990,"Lt High School","Hardly Any"
"26063",26063,1990,"High School","Only Some"
"26064",26064,1990,"Lt High School","Only Some"
"26066",26066,1990,"High School","Hardly Any"
"26068",26068,1990,"Junior College","Only Some"
"26069",26069,1990,"Bachelor","Only Some"
"26070",26070,1990,"High School","Only Some"
"26071",26071,1990,"Lt High School","Hardly Any"
"26072",26072,1990,"High School","A Great Deal"
"26073",26073,1990,"Bachelor","Only Some"
"26074",26074,1990,"Lt High School","A Great Deal"
"26075",26075,1990,"High School","Only Some"
"26076",26076,1990,"Lt High School","Only Some"
"26078",26078,1990,"High School","A Great Deal"
"26082",26082,1990,"High School","Only Some"
"26083",26083,1990,"Lt High School","A Great Deal"
"26084",26084,1990,"High School","Only Some"
"26085",26085,1990,"High School","A Great Deal"
"26086",26086,1990,"High School","Only Some"
"26088",26088,1990,"Lt High School","Only Some"
"26089",26089,1990,"High School","A Great Deal"
"26090",26090,1990,"Lt High School","Hardly Any"
"26093",26093,1990,"Bachelor","Only Some"
"26097",26097,1990,"Lt High School","A Great Deal"
"26098",26098,1990,"High School","Only Some"
"26099",26099,1990,"High School","Only Some"
"26103",26103,1990,"Lt High School","Only Some"
"26106",26106,1990,"High School","Only Some"
"26108",26108,1990,"Junior College","Only Some"
"26109",26109,1990,"High School","Hardly Any"
"26110",26110,1990,"Bachelor","Hardly Any"
"26112",26112,1990,"High School","A Great Deal"
"26116",26116,1990,"High School","Only Some"
"26117",26117,1990,"High School","A Great Deal"
"26119",26119,1990,"High School","A Great Deal"
"26120",26120,1990,"Lt High School","Only Some"
"26122",26122,1990,"Bachelor","A Great Deal"
"26123",26123,1990,"High School","Only Some"
"26124",26124,1990,"High School","Only Some"
"26126",26126,1990,"Graduate","Only Some"
"26127",26127,1990,"High School","Only Some"
"26128",26128,1990,"Lt High School","A Great Deal"
"26129",26129,1990,"Lt High School","Only Some"
"26131",26131,1990,"High School","Only Some"
"26132",26132,1990,"Lt High School","Hardly Any"
"26133",26133,1990,"High School","Only Some"
"26135",26135,1990,"Lt High School","A Great Deal"
"26136",26136,1990,"High School","Only Some"
"26138",26138,1990,"High School","Hardly Any"
"26139",26139,1990,"High School","Hardly Any"
"26140",26140,1990,"Lt High School","Only Some"
"26141",26141,1990,"High School","Only Some"
"26143",26143,1990,"Junior College","Hardly Any"
"26144",26144,1990,"High School","Only Some"
"26145",26145,1990,"High School","Only Some"
"26146",26146,1990,"Bachelor","Only Some"
"26147",26147,1990,"Lt High School","Only Some"
"26153",26153,1990,"High School","Only Some"
"26154",26154,1990,"High School","Only Some"
"26156",26156,1990,"High School","Only Some"
"26157",26157,1990,"High School","Only Some"
"26158",26158,1990,"Lt High School","Only Some"
"26159",26159,1990,"Graduate","Only Some"
"26160",26160,1990,"Lt High School","Only Some"
"26161",26161,1990,"Lt High School","Only Some"
"26162",26162,1990,"Lt High School","Only Some"
"26163",26163,1990,"Lt High School","Hardly Any"
"26164",26164,1990,"High School","Hardly Any"
"26166",26166,1990,"Lt High School","Only Some"
"26167",26167,1990,"Lt High School","Only Some"
"26170",26170,1990,"High School","Hardly Any"
"26171",26171,1990,"Lt High School","Only Some"
"26173",26173,1990,"High School","Only Some"
"26174",26174,1990,"High School","Only Some"
"26175",26175,1990,"Lt High School","Only Some"
"26176",26176,1990,"High School","Only Some"
"26177",26177,1990,"Bachelor","A Great Deal"
"26178",26178,1990,"Bachelor","Hardly Any"
"26179",26179,1990,"High School","A Great Deal"
"26180",26180,1990,"Lt High School","Only Some"
"26185",26185,1990,"Lt High School","Only Some"
"26187",26187,1990,"Bachelor","A Great Deal"
"26190",26190,1990,"High School","Only Some"
"26192",26192,1990,"High School","Only Some"
"26193",26193,1990,"Lt High School","Hardly Any"
"26194",26194,1990,"High School","Only Some"
"26196",26196,1990,"Lt High School","Only Some"
"26199",26199,1990,"Lt High School","Only Some"
"26200",26200,1990,"Lt High School","A Great Deal"
"26201",26201,1990,"Lt High School","Only Some"
"26202",26202,1990,"Lt High School","Only Some"
"26203",26203,1990,"High School","Only Some"
"26204",26204,1990,"Lt High School","Only Some"
"26206",26206,1990,"High School","Only Some"
"26207",26207,1990,"High School","Only Some"
"26209",26209,1990,"Lt High School","Only Some"
"26210",26210,1990,"Lt High School","Only Some"
"26211",26211,1990,"High School","Only Some"
"26213",26213,1990,"High School","Only Some"
"26214",26214,1990,"Bachelor","Only Some"
"26216",26216,1990,"High School","Only Some"
"26217",26217,1990,"High School","Only Some"
"26218",26218,1990,"High School","Only Some"
"26219",26219,1990,"Junior College","A Great Deal"
"26223",26223,1990,"High School","Only Some"
"26224",26224,1990,"High School","Only Some"
"26226",26226,1990,"High School","Only Some"
"26227",26227,1990,"Junior College","Only Some"
"26228",26228,1990,"High School","A Great Deal"
"26229",26229,1990,"High School","Only Some"
"26230",26230,1990,"Bachelor","A Great Deal"
"26231",26231,1990,"High School","A Great Deal"
"26232",26232,1990,"High School","Only Some"
"26233",26233,1990,"Graduate","Only Some"
"26234",26234,1990,"Bachelor","A Great Deal"
"26235",26235,1990,"High School","A Great Deal"
"26236",26236,1990,"High School","Only Some"
"26237",26237,1990,"High School","Only Some"
"26239",26239,1990,"High School","A Great Deal"
"26240",26240,1990,"High School","Only Some"
"26241",26241,1990,"Graduate","A Great Deal"
"26242",26242,1990,"Bachelor","Only Some"
"26245",26245,1990,"High School","Only Some"
"26246",26246,1990,"Lt High School","Only Some"
"26247",26247,1990,"Bachelor","Only Some"
"26248",26248,1990,"High School","A Great Deal"
"26249",26249,1990,"Lt High School","Only Some"
"26250",26250,1990,"Lt High School","Only Some"
"26252",26252,1990,"High School","Only Some"
"26253",26253,1990,"High School","Hardly Any"
"26254",26254,1990,"High School","Only Some"
"26258",26258,1990,"Junior College","A Great Deal"
"26260",26260,1990,"High School","A Great Deal"
"26261",26261,1990,"High School","Hardly Any"
"26262",26262,1990,"High School","Only Some"
"26263",26263,1990,"Lt High School","Only Some"
"26265",26265,1990,"High School","A Great Deal"
"26267",26267,1991,"Graduate","Only Some"
"26268",26268,1991,"Graduate","A Great Deal"
"26269",26269,1991,"Bachelor","A Great Deal"
"26271",26271,1991,"Lt High School","A Great Deal"
"26273",26273,1991,"Bachelor","A Great Deal"
"26274",26274,1991,"Lt High School","A Great Deal"
"26277",26277,1991,"High School","Only Some"
"26278",26278,1991,"High School","A Great Deal"
"26280",26280,1991,"High School","Hardly Any"
"26282",26282,1991,"Junior College","A Great Deal"
"26284",26284,1991,"Junior College","A Great Deal"
"26290",26290,1991,"High School","A Great Deal"
"26293",26293,1991,"High School","Hardly Any"
"26294",26294,1991,"Graduate","A Great Deal"
"26295",26295,1991,"Graduate","A Great Deal"
"26296",26296,1991,"High School","Only Some"
"26297",26297,1991,"Bachelor","A Great Deal"
"26298",26298,1991,"High School","Only Some"
"26299",26299,1991,"High School","Only Some"
"26300",26300,1991,"Bachelor","A Great Deal"
"26301",26301,1991,"Graduate","A Great Deal"
"26302",26302,1991,"High School","A Great Deal"
"26303",26303,1991,"High School","A Great Deal"
"26304",26304,1991,"High School","A Great Deal"
"26305",26305,1991,"Lt High School","Only Some"
"26307",26307,1991,"Lt High School","Only Some"
"26309",26309,1991,"High School","A Great Deal"
"26310",26310,1991,"High School","Only Some"
"26312",26312,1991,"Bachelor","A Great Deal"
"26313",26313,1991,"High School","Only Some"
"26315",26315,1991,"Bachelor","A Great Deal"
"26317",26317,1991,"High School","A Great Deal"
"26318",26318,1991,"High School","A Great Deal"
"26320",26320,1991,"Graduate","A Great Deal"
"26321",26321,1991,"High School","A Great Deal"
"26323",26323,1991,"High School","A Great Deal"
"26325",26325,1991,"High School","Only Some"
"26326",26326,1991,"High School","Only Some"
"26328",26328,1991,"Bachelor","A Great Deal"
"26330",26330,1991,"High School","A Great Deal"
"26331",26331,1991,"High School","Hardly Any"
"26332",26332,1991,"High School","A Great Deal"
"26334",26334,1991,"Junior College","A Great Deal"
"26335",26335,1991,"Lt High School","Only Some"
"26336",26336,1991,"High School","A Great Deal"
"26337",26337,1991,"Lt High School","A Great Deal"
"26339",26339,1991,"High School","Only Some"
"26340",26340,1991,"Lt High School","A Great Deal"
"26341",26341,1991,"High School","Only Some"
"26343",26343,1991,"High School","A Great Deal"
"26344",26344,1991,"High School","Only Some"
"26345",26345,1991,"High School","A Great Deal"
"26346",26346,1991,"Junior College","A Great Deal"
"26347",26347,1991,"Bachelor","Only Some"
"26348",26348,1991,"Bachelor","A Great Deal"
"26349",26349,1991,"Bachelor","A Great Deal"
"26350",26350,1991,"High School","Only Some"
"26352",26352,1991,"Lt High School","Only Some"
"26354",26354,1991,"Lt High School","Only Some"
"26355",26355,1991,"Lt High School","Only Some"
"26357",26357,1991,"Lt High School","A Great Deal"
"26358",26358,1991,"High School","A Great Deal"
"26359",26359,1991,"High School","A Great Deal"
"26360",26360,1991,"Junior College","Only Some"
"26361",26361,1991,"High School","A Great Deal"
"26362",26362,1991,"High School","Only Some"
"26363",26363,1991,"Lt High School","A Great Deal"
"26364",26364,1991,"Lt High School","A Great Deal"
"26366",26366,1991,"High School","A Great Deal"
"26367",26367,1991,"Lt High School","A Great Deal"
"26368",26368,1991,"High School","Only Some"
"26371",26371,1991,"Bachelor","A Great Deal"
"26373",26373,1991,"Lt High School","Hardly Any"
"26375",26375,1991,"High School","A Great Deal"
"26377",26377,1991,"High School","Hardly Any"
"26378",26378,1991,"High School","Only Some"
"26379",26379,1991,"Bachelor","Only Some"
"26381",26381,1991,"Lt High School","A Great Deal"
"26382",26382,1991,"Bachelor","A Great Deal"
"26384",26384,1991,"Bachelor","A Great Deal"
"26385",26385,1991,"Bachelor","A Great Deal"
"26386",26386,1991,"Bachelor","A Great Deal"
"26387",26387,1991,"High School","Only Some"
"26389",26389,1991,"High School","Only Some"
"26390",26390,1991,"High School","A Great Deal"
"26393",26393,1991,"High School","Only Some"
"26395",26395,1991,"Graduate","Only Some"
"26396",26396,1991,"High School","Only Some"
"26397",26397,1991,"Bachelor","A Great Deal"
"26399",26399,1991,"High School","Only Some"
"26400",26400,1991,"High School","A Great Deal"
"26403",26403,1991,"High School","A Great Deal"
"26405",26405,1991,"High School","A Great Deal"
"26406",26406,1991,"Lt High School","Only Some"
"26411",26411,1991,"Junior College","Only Some"
"26412",26412,1991,"High School","A Great Deal"
"26413",26413,1991,"Bachelor","A Great Deal"
"26414",26414,1991,"Bachelor","A Great Deal"
"26415",26415,1991,"High School","A Great Deal"
"26416",26416,1991,"High School","A Great Deal"
"26417",26417,1991,"High School","Only Some"
"26418",26418,1991,"High School","A Great Deal"
"26419",26419,1991,"Junior College","A Great Deal"
"26420",26420,1991,"Graduate","A Great Deal"
"26422",26422,1991,"High School","Only Some"
"26423",26423,1991,"Graduate","Only Some"
"26424",26424,1991,"High School","Only Some"
"26425",26425,1991,"Junior College","Only Some"
"26427",26427,1991,"Lt High School","A Great Deal"
"26429",26429,1991,"High School","A Great Deal"
"26430",26430,1991,"High School","A Great Deal"
"26432",26432,1991,"Graduate","A Great Deal"
"26434",26434,1991,"Lt High School","Only Some"
"26435",26435,1991,"Lt High School","A Great Deal"
"26437",26437,1991,"High School","Only Some"
"26439",26439,1991,"Lt High School","A Great Deal"
"26440",26440,1991,"High School","A Great Deal"
"26441",26441,1991,"High School","Only Some"
"26443",26443,1991,"High School","A Great Deal"
"26444",26444,1991,"Lt High School","Only Some"
"26446",26446,1991,"High School","Only Some"
"26447",26447,1991,"High School","Only Some"
"26449",26449,1991,"High School","A Great Deal"
"26451",26451,1991,"Bachelor","Only Some"
"26452",26452,1991,"Bachelor","A Great Deal"
"26454",26454,1991,"Bachelor","Only Some"
"26458",26458,1991,"High School","A Great Deal"
"26460",26460,1991,"Lt High School","Only Some"
"26461",26461,1991,"Graduate","Only Some"
"26463",26463,1991,"Bachelor","A Great Deal"
"26464",26464,1991,"Graduate","Only Some"
"26465",26465,1991,"High School","Only Some"
"26466",26466,1991,"High School","A Great Deal"
"26467",26467,1991,"High School","Only Some"
"26468",26468,1991,"High School","A Great Deal"
"26470",26470,1991,"Bachelor","A Great Deal"
"26472",26472,1991,"Bachelor","A Great Deal"
"26475",26475,1991,"Bachelor","A Great Deal"
"26476",26476,1991,"Lt High School","A Great Deal"
"26477",26477,1991,"Graduate","A Great Deal"
"26478",26478,1991,"Graduate","A Great Deal"
"26479",26479,1991,"Graduate","A Great Deal"
"26481",26481,1991,"Bachelor","A Great Deal"
"26483",26483,1991,"Bachelor","A Great Deal"
"26484",26484,1991,"Bachelor","A Great Deal"
"26486",26486,1991,"Bachelor","A Great Deal"
"26488",26488,1991,"High School","A Great Deal"
"26491",26491,1991,"Graduate","Only Some"
"26492",26492,1991,"High School","A Great Deal"
"26493",26493,1991,"Graduate","A Great Deal"
"26495",26495,1991,"High School","Hardly Any"
"26496",26496,1991,"High School","A Great Deal"
"26498",26498,1991,"High School","A Great Deal"
"26499",26499,1991,"High School","Only Some"
"26500",26500,1991,"High School","A Great Deal"
"26501",26501,1991,"Graduate","A Great Deal"
"26503",26503,1991,"Bachelor","A Great Deal"
"26505",26505,1991,"Bachelor","Only Some"
"26506",26506,1991,"Bachelor","Hardly Any"
"26507",26507,1991,"High School","Only Some"
"26508",26508,1991,"High School","Only Some"
